"id","name","url","is_mega_menu","new_window","parent_id","group_ids","website_id","sequence","class_icon"
"theme_intello.thi_our_work","Nuestro Trabajo","/our-work","","","Menú principal para el sitio web 1","","Intello Idea","12",""
"theme_intello.thi_odoo","Odoo","/odoo","","","Menú principal para el sitio web 1","","Intello Idea","14",""
"theme_intello.thi_plane_odoo","Planes Odoo","","","","Menú principal para el sitio web 1","","Intello Idea","15",""
"theme_intello.thi_plane_odoo_estandar","Planes Odoo estándar","/planes-odoo","","","Planes Odoo","","Intello Idea","2",""
"theme_intello.thi_plane_odoo_personalizados","Planes Personalizados","/odoo/demo","","","Planes Odoo","","Intello Idea","4",""
"theme_intello.thi_other_services","Otros Servicios","","","","Menú principal para el sitio web 1","","Intello Idea","16",""
"theme_intello.thi_app_mobile","App Móvil","/app-mobile","","","Otros Servicios","","Intello Idea","2","icon-mobile-app"
"theme_intello.thi_web_develop","Desarrollo Web","/web-develop","","","Otros Servicios","","Intello Idea","4","icon-web-development"
"theme_intello.thi_sap_consulting","Consultoría SAP","/sap-consulting","","","Otros Servicios","","Intello Idea","6","icon-consultancy-sap"
"theme_intello.thi_blog","Blog","","","","Menú principal para el sitio web 1","","Intello Idea","17",""
